,,,
Farm Shi,Product,Cod,Total Units
22-abr,Rose Assorted 60cm,LOC,200
27-abr,Rose Assorted 70cm,FDB,100
20-abr,Rose Assorted 70cm,LOC,100
25-abr,Rose Assorted COFFE & CREAM,LOC,100
25-abr,Rose Assorted LOVE,LOC,100
25-abr,Rose Assorted TIE DE,LOC,200
20-abr,Rose Avalanche White 50cm,FDB,100
20-abr,Rose Avalanche White 50cm,LOC,100
27-abr,Rose Avant Garde Lavender,LOC,200
22-abr,Rose Avant Garde Lavender 50cm,LOC,100
25-abr,Rose Avant Garde Lavender 50cm,LOC,50
25-abr,Rose Avant Garde Lavender 60cm,LOC,100
27-abr,Rose Avant Garde Lavender 60cm,LOC,300
2-may,Rose Babbaloo Pink 40cm,FDB,100
27-abr,Rose Babbaloo Pink 40cm,FDB,100
27-abr,Rose Babbaloo Pink 40cm,FDB,100
25-abr,Rose Babbaloo Pink 40cm,FDB,100
27-abr,Rose Babbaloo Pink 50cm,FDB,100
27-abr,Rose Babbaloo Pink 50cm,FDB,200
27-abr,Rose Babbaloo Pink 50cm,FDB,100
27-abr,Rose Babbaloo Pink 50cm,FDB,100
27-abr,Rose Babbaloo Pink 60cm,FDB,100
25-abr,Rose Babbaloo Pink 60cm,FDB,100
27-abr,Rose Babbaloo Pink 60cm,FDB,100
27-abr,Rose Babbaloo Pink 60cm,FDB,100
26-abr,Rose Babbaloo Pink 60cm,FDB,100
27-abr,Rose Babbaloo Pink 60cm,FDB,100
26-abr,Rose Ballet Pink 50cm,LOC,100
26-abr,Rose Ballet Pink 50cm,LOC,200
25-abr,Rose Ballet Pink 50cm,LOC,300
23-abr,Rose Ballet Pink 50cm,LOC,25
25-abr,Rose Ballet Pink 60cm,LOC,100
27-abr,Rose Ballet Pink 60cm,LOC,200
25-abr,Rose Ballet Pink 60cm,LOC,300
27-abr,Rose Ballet Pink 60cm,LOC,500
26-abr,Rose Barista Mauve,LOC,200
25-abr,Rose Barista Mauve,LOC,100
25-abr,Rose Barista Mauve,LOC,100
25-abr,Rose Barista Mauve,LOC,100
27-abr,Rose Barista Mauve,LOC,100
2-may,Rose Barista Mauve 40cm,FDB,200
27-abr,Rose Barista Mauve 40cm,FDB,100
27-abr,Rose Barista Mauve 40cm,FDB,100
26-abr,Rose Barista Mauve 50cm,LOC,100
25-abr,Rose Barista Mauve 50cm,LOC,200
25-abr,Rose Barista Mauve 60cm,LOC,200
25-abr,Rose Be Sweet Pink,LOC,100
27-abr,Rose Be Sweet Pink 60cm,FDB,100
25-abr,Rose Be Sweet Pink 60cm,LOC,200
22-abr,Rose Bianca Candy Blush 50cm,LOC,100
27-abr,Rose Big Fun Pink/Coral,LOC,200
25-abr,Rose Bikini Yellow 40cm,FDB,100
27-abr,Rose Bikini Yellow 40cm,FDB,100
27-abr,Rose Bikini Yellow 50cm,FDB,100
26-abr,Rose Bikini Yellow 50cm,LOC,100
26-abr,Rose Bikini Yellow 50cm,LOC,100
25-abr,Rose Bikini Yellow 50cm,LOC,200
23-abr,Rose Bikini Yellow 50cm,LOC,50
26-abr,Rose Bikini Yellow 60cm,LOC,200
25-abr,Rose Bikini Yellow 60cm,LOC,100
25-abr,Rose Bikini Yellow 60cm,LOC,300
20-abr,Rose Bikini Yellow 60cm,LOC,100
25-abr,Rose Bikini Yellow 60cm,LOC,100
22-abr,Rose Bikini Yellow 60cm,LOC,100
25-abr,Rose Bikini Yellow 60cm,LOC,100
25-abr,Rose Bikini Yellow 60cm,LOC,400
27-abr,Rose Bikini Yellow 60cm,LOC,400
27-abr,Rose Bittersweet Orange 50cm,FDB,100
27-abr,Rose Bittersweet Orange 50cm,FDB,100
23-abr,Rose Bittersweet Orange 50cm,LOC,50
25-abr,Rose Bittersweet Orange 60cm,LOC,200
26-abr,Rose Black Baccara Dark Red 50cm,LOC,100
25-abr,Rose Black Baccara Dark Red 60cm,LOC,100
20-abr,Rose Black Magic Dark Red,LOC,100
20-abr,Rose Black Pearl Burgundy/Red,LOC,100
27-abr,Rose Black Pearl Burgundy/Red 60cm,LOC,300
27-abr,Rose Blue Dream Lavender 40cm,FDB,100
25-abr,Rose Blue Dream Lavender 40cm,FDB,100
27-abr,Rose Blue Dream Lavender 40cm,FDB,100
27-abr,Rose Blue Dream Lavender 50cm,FDB,100
19-abr,Rose Blue Dream Lavender 50cm,FDB,100
27-abr,Rose Blue Dream Lavender 50cm,FDB,100
25-abr,Rose Blue Dream Lavender 50cm,FDB,100
27-abr,Rose Blue Dream Lavender 50cm,FDB,100
27-abr,Rose Blueberry Lavender 40cm,FDB,100
27-abr,Rose Blueberry Lavender 50cm,FDB,200
26-abr,Rose Blueberry Lavender 50cm,LOC,100
22-abr,Rose Blueberry Lavender 50cm,LOC,100
22-abr,Rose Blueberry Lavender 50cm,LOC,100
25-abr,Rose Blueberry Lavender 50cm,LOC,400
20-abr,Rose Blueberry Lavender 60cm,FDB,100
27-abr,Rose Blueberry Lavender 60cm,FDB,100
27-abr,Rose Blueberry Lavender 60cm,FDB,100
27-abr,Rose Blueberry Lavender 60cm,FDB,200
26-abr,Rose Blueberry Lavender 60cm,LOC,200
27-abr,Rose Blueberry Lavender 60cm,LOC,100
25-abr,Rose Blueberry Lavender 60cm,LOC,200
25-abr,Rose Blueberry Lavender 60cm,LOC,100
22-abr,Rose Blueberry Lavender 60cm,LOC,100
25-abr,Rose Blueberry Lavender 60cm,LOC,100
25-abr,Rose Blueberry Lavender 60cm,LOC,200
27-abr,Rose Blueberry Lavender 60cm,LOC,300
27-abr,Rose Blush Red/White 60cm OPEN CUT,FDB,100
25-abr,Rose Blushing Akito Light Pink,LOC,100
27-abr,Rose Blushing Akito Light Pink,LOC,100
25-abr,Rose Blushing Akito Light Pink 50cm,LOC,100
25-abr,Rose Blushing Akito Light Pink 60cm,LOC,100
20-abr,Rose Blushing Akito Light Pink 60cm,LOC,100
27-abr,Rose Born Beauty Hot Pink 50cm,FDB,100
27-abr,Rose Born Beauty Hot Pink 50cm,FDB,300
26-abr,Rose Born Beauty Hot Pink 60cm,FDB,100
20-abr,Rose Born Free Red 40cm,FDB,100
27-abr,Rose Born Free Red 50cm,FDB,100
27-abr,Rose Boulevard Pink/White 50cm,FDB,100
27-abr,Rose Boulevard Pink/White 50cm,FDB,100
27-abr,Rose Boulevard Pink/White 50cm,FDB,100
27-abr,Rose Boulevard Pink/White 50cm,FDB,200
27-abr,Rose Boulevard Pink/White 50cm,FDB,100
27-abr,Rose Boulevard Pink/White 60cm,FDB,100
27-abr,Rose Brave Red 60cm,LOC,400
25-abr,Rose Breathless Mauve/Lavender,LOC,200
27-abr,Rose Breathless Mauve/Lavender 40cm,FDB,100
25-abr,Rose Breathless Mauve/Lavender 50cm,FDB,100
27-abr,Rose Breathless Mauve/Lavender 50cm,FDB,100
27-abr,Rose Breathless Mauve/Lavender 60cm,FDB,200
27-abr,Rose Bridal Akito Blush,LOC,25
20-abr,Rose Bridal Akito Blush 50cm,LOC,100
25-abr,Rose Bridal Akito Blush 50cm,LOC,100
27-abr,Rose Bridal Akito Blush 60cm,LOC,500
25-abr,Rose Brighton Yellow,LOC,200
27-abr,Rose Brighton Yellow,LOC,25
27-abr,Rose Brighton Yellow,LOC,100
27-abr,Rose Brighton Yellow 40cm,FDB,100
27-abr,Rose Brighton Yellow 40cm,FDB,100
27-abr,Rose Brighton Yellow 40cm,FDB,100
22-abr,Rose Brighton Yellow 40cm,LOC,100
27-abr,Rose Brighton Yellow 50cm,FDB,100
26-abr,Rose Brighton Yellow 50cm,LOC,100
26-abr,Rose Brighton Yellow 50cm,LOC,100
22-abr,Rose Brighton Yellow 50cm,LOC,200
25-abr,Rose Brighton Yellow 50cm,LOC,100
27-abr,Rose Brighton Yellow 60cm,FDB,200
26-abr,Rose Brighton Yellow 60cm,LOC,100
27-abr,Rose Brighton Yellow 60cm,LOC,200
25-abr,Rose Brighton Yellow 60cm,LOC,400
25-abr,Rose Brighton Yellow 60cm,LOC,100
25-abr,Rose Brighton Yellow 60cm,LOC,200
22-abr,Rose Brighton Yellow 60cm,LOC,200
25-abr,Rose Brighton Yellow 60cm,LOC,100
25-abr,Rose Brighton Yellow 60cm,LOC,200
26-abr,Rose Brighton Yellow 60cm,LOC,1000
27-abr,Rose Brighton Yellow 60cm,LOC,400
27-abr,Rose Brighton Yellow 70cm,FDB,200
27-abr,Rose Brighton Yellow 70cm OPEN CUT,FDB,100
20-abr,Rose Brown 40cm,FDB,50
27-abr,Rose Bumblebee Gold 40cm,FDB,100
20-abr,Rose Bumblebee Gold 40cm,FDB,100
27-abr,Rose Bumblebee Gold 60cm,FDB,200
20-abr,Rose Burgundy CRANBERRY,LOC,100
25-abr,Rose Butterscotch Yellow,LOC,100
27-abr,Rose Butterscotch Yellow,LOC,200
27-abr,Rose Butterscotch Yellow,LOC,25
25-abr,Rose Butterscotch Yellow 40cm,FDB,100
26-abr,Rose Butterscotch Yellow 50cm,FDB,100
27-abr,Rose Butterscotch Yellow 50cm,FDB,200
27-abr,Rose Butterscotch Yellow 50cm,FDB,100
27-abr,Rose Cabaret Cream/Peach 40cm,FDB,200
19-abr,Rose Cabaret Cream/Peach 50cm,FDB,100
26-abr,Rose Cafe Mocca Brown,LOC,100
22-abr,Rose Cafe Mocca Brown,LOC,100
19-abr,Rose Cancun Yellow 50cm,FDB,100
25-abr,Rose Candle Light White 50cm,LOC,100
27-abr,Rose Candlelight White,LOC,200
25-abr,Rose Candlelight White 40cm,FDB,100
20-abr,Rose Candlelight White 40cm,FDB,100
27-abr,Rose Candlelight White 40cm,FDB,200
27-abr,Rose Candlelight White 40cm,FDB,100
20-abr,Rose Candlelight White 40cm,FDB,100
27-abr,Rose Candlelight White 40cm,FDB,100
25-abr,Rose Candlelight White 40cm,FDB,100
27-abr,Rose Candlelight White 40cm,FDB,100
20-abr,Rose Candlelight White 40cm,FDB,100
25-abr,Rose Candlelight White 50cm,FDB,100
27-abr,Rose Candlelight White 50cm,FDB,100
27-abr,Rose Candlelight White 50cm,FDB,100
20-abr,Rose Candlelight White 50cm,FDB,100
27-abr,Rose Candlelight White 50cm,FDB,100
27-abr,Rose Candlelight White 50cm,FDB,200
27-abr,Rose Candlelight White 50cm,LOC,400
27-abr,Rose Candlelight White 60cm,FDB,100
25-abr,Rose Candlelight White 60cm,LOC,100
25-abr,Rose Candlelight White 60cm,LOC,100
22-abr,Rose Candlelight White 60cm,LOC,100
26-abr,Rose Candlelight White 60cm,LOC,500
27-abr,Rose Cappuccino Beige,FDB,125
27-abr,Rose Cappuccino Beige,FDB,250
25-abr,Rose Capriccio Gold 60cm,LOC,100
19-abr,Rose Caramel Macchiato Peach/Beige 50cm,FDB,100
27-abr,Rose Caramel Macchiato Peach/Beige 50cm,FDB,100
27-abr,Rose Caramel Macchiato Peach/Beige 50cm,FDB,100
27-abr,Rose Caramel Macchiato Peach/Beige 50cm,FDB,100
23-abr,Rose Caramel Macchiato Peach/Beige 50cm,FDB,100
23-abr,Rose Caramel Macchiato Peach/Beige 50cm,FDB,100
27-abr,Rose Caramel Macchiato Peach/Beige 50cm,FDB,100
27-abr,Rose Caramel Macchiato Peach/Beige 60cm,FDB,200
20-abr,Rose Carnelian Orange 50cm,FDB,200
27-abr,Rose Carnelian Orange 50cm,FDB,200
27-abr,Rose Carousel Pink/White 50cm,FDB,100
25-abr,Rose Carousel Pink/White 60cm,LOC,100
25-abr,Rose Carousel Pink/White 60cm,LOC,100
26-abr,Rose Carpe Diem Apricot,LOC,200
25-abr,Rose Carpe Diem Apricot,LOC,100
27-abr,Rose Carpe Diem Apricot,LOC,25
26-abr,Rose Carpe Diem Apricot 50cm,FDB,100
19-abr,Rose Carpe Diem Apricot 50cm,FDB,100
25-abr,Rose Carpe Diem Apricot 50cm,FDB,100
22-abr,Rose Carpe Diem Apricot 50cm,LOC,100
25-abr,Rose Carpe Diem Apricot 60cm,LOC,200
22-abr,Rose Cayenne Orange 50cm,LOC,100
25-abr,Rose Cayenne Orange 60cm,LOC,200
25-abr,Rose Cayenne Orange 60cm,LOC,100
25-abr,Rose Cayenne Orange 60cm,LOC,100
25-abr,Rose Cayenne Orange 60cm,LOC,100
27-abr,Rose Cayenne Orange 60cm,LOC,300
26-abr,Rose Champagne Beige,LOC,100
25-abr,Rose Champagne Beige,LOC,100
27-abr,Rose Champagne Beige,LOC,25
27-abr,Rose Champagne Beige,LOC,200
27-abr,Rose Champagne Beige 40cm,FDB,200
27-abr,Rose Champagne Beige 40cm,FDB,200
25-abr,Rose Champagne Beige 40cm,FDB,200
27-abr,Rose Champagne Beige 40cm,FDB,400
27-abr,Rose Champagne Beige 40cm,FDB,200
23-abr,Rose Champagne Beige 40cm,FDB,200
25-abr,Rose Champagne Beige 40cm,FDB,200
26-abr,Rose Champagne Beige 50cm,FDB,200
27-abr,Rose Champagne Beige 50cm,FDB,200
27-abr,Rose Champagne Beige 50cm,FDB,200
22-abr,Rose Champagne Beige 50cm,LOC,1000
27-abr,Rose Champagne Beige 60cm,FDB,200
27-abr,Rose Champagner Peach 40cm,FDB,100
20-abr,Rose Champagner Peach 50cm,LOC,100
27-abr,Rose Champagner Peach 60cm,FDB,100
25-abr,Rose Cherry Brandy Pink/Yellow 50cm,LOC,25
25-abr,Rose Cherry Brandy Pink/Yellow 60cm,LOC,100
25-abr,Rose Cherry Brandy Pink/Yellow 60cm,LOC,100
25-abr,Rose Cherry O Hot Pink,LOC,100
27-abr,Rose Cherry O Hot Pink,LOC,200
20-abr,Rose Cherry O Hot Pink 40cm,FDB,100
27-abr,Rose Cherry O Hot Pink 40cm,FDB,100
27-abr,Rose Cherry O Hot Pink 40cm,FDB,100
