VARIETY,WELY,FROS,NATIVE,GUAISA,FLVE,ROPR,ROSU,DIND,POTR,ALIA,ATTA,DYAN,NEVA,STRO
Rose Cherry O Hot Pink 60cm,,,200,,,,,,,,,,,200
Rose Chilis Orange 50cm,,,,,,,,,,,,,200,
Rose Chilis Orange 60cm,,,,,,,,,,,,,,
Rose Christa Light Pink 50cm,,,,,,,,,,,,,,
Rose Christa Light Pink 60cm,,,,,,,,,,,,,,
Rose Circus Red/Yellow 50cm,,,,,,,,,,,,,,
Rose Circus Red/Yellow 60cm,,,,,,,,,,,,,,
Rose Coffee Break Brown 50cm,,,100,,,,,,,,,,,
Rose Coffee Break Brown 60cm,,,200,,,,,,,,,,,
Rose Cold Brew Caramel/Pink 40cm,,,,,,,,,,,,,,
Rose Cold Brew Caramel/Pink 50cm,200,,,,,,,,,200,,,,
Rose Cold Brew Caramel/Pink 60cm,200,,,,,,,,,,,,,
Rose Cold Play White 50cm,,,,,,,,,,,,,,
Rose Cold Play White 60cm,,,,,,,,400,,,,,,
Rose Combo Copper 30cm,,,,,,,,,,150,,,,
Rose Confidential Orange 50cm,,,,,,,,,,,,,,
Rose Confidential Orange 60cm,,,200,,,,,,,,,,,
Rose Cool Water Lavender 40cm,600,,,,,,,,,,,,,
Rose Cool Water Lavender 50cm,1000,,,200,,,,,200,,,400,,
Rose Cool Water Lavender 60cm,1000,,200,,,,,,200,,,200,300,
Rose Cooldown Lavender 50 cm,,,,,,200,,,100,,,,,
Rose Cooldown Lavender 60 cm,,,,,,200,,,100,,,,,
Rose Coral Reef Coral 50cm,,,200,,,,,,,100,,,,
Rose Coral Reef Coral 60cm,,,200,,,,,,,,,,,
Rose Coral Xpression Coral 40cm,,,,,,,,,,,,,,
Rose Coral Xpression Coral 50cm,,,,,,,,,,,,,,
Rose Country Blues Lavender 40 cm,,,,,,,200,200,,,100,,,
Rose Country Blues Lavender 50 cm,,,100,,,,200,200,200,,200,,,200
Rose Country Blues Lavender 60 cm,,,200,,,,200,200,,,200,,,400
Rose Country Candy Light Pink 40 cm,,,,,,,,,,,,,,
Rose Country Candy Light Pink 50 cm,,,,,,,,,,,,,,100
Rose Country Candy Light Pink 60 cm,,,,,,,,,,,300,,,
Rose Country Home Peach 40cm,,,,,200,,,,,,,,,
Rose Country Home Peach 50cm,,,100,200,200,,,,,,200,,,
Rose Country Home Peach 60cm,,,,200,,,,,,,300,,,100
Rose Cream Carpe Diem Cream 50cm,,,,,,,,200,,,,,,300
Rose Cream Carpe Diem Cream 60cm,,,,,,,,,,,,,,
Rose Creme De La Creme Light Yellow 50cm,,250,200,,,,,,,,,,,
Rose Creme De La Creme Light Yellow 60cm,,250,,,,,,,,,,,,
Rose Cumbia Light Orange 50cm,,,,,,,,,,,,,,
Rose Cumbia Light Orange 60cm,,,,,,,,,,,,,,
Rose Curiosity 50cm,,,,,,,,200,,,,,,
Rose Dallas Red 60cm,,,200,,,,,,,,,,,
Rose Deep Purple Lavender 50cm,1000,1000,200,,300,,,,200,100,,,400,
Rose Deep Purple Lavender 60cm,2000,1000,400,,300,,,,200,,,,200,
Rose Dolcetto Lavender 50cm,,,,,,,,,,,,,,
Rose Dragonfly Orange 40 cm,,,,,,,,,,,,,,
Rose Dragonfly Orange 50 cm,,,200,,,,,100,,,100,,,
Rose Dragonfly Orange 60 cm,,,,,,,,100,,,100,,,
Rose Dyed Blue 60 cm,,,,,,,,,,,,,,
Rose Early Grey Silver 50cm,,,,,,,,,,,,,,
Rose Early Grey Silver 60cm,,,,,,200,,,,,,,,
Rose Enchantment Hot Pink 40 cm,,,,,,,,,,,,,,
Rose Enchantment Hot Pink 50 cm,,,,,,,,,,,100,,,200
Rose Enchantment Hot Pink 60 cm,,,,,,,,,,,100,,,100
Rose Engagement Light Pink 50cm,,,,,,,,,,,,,,
Rose Engagement Light Pink 60cm,,,,,,,,,,,,,,
Rose Escimo White 40cm,500,,,,,,,,,,,,,
Rose Escimo White 50cm,500,,200,400,,,,600,,,,,,
Rose Escimo White 60cm,500,,200,400,,,,,,,,,,
Rose Esperanza Pink/White 50cm,,,200,,300,,,,,,,,500,
Rose Esperanza Pink/White 60cm,,,200,200,200,,,,,,,,100,
Rose Explorer Red 50cm,,,400,,,,,,,,,,200,
Rose Explorer Red 60cm,,1000,400,,,500,,,400,,,,200,400
Rose Explorer Red 70cm,,,,,,,,,200,,,,,400
Rose Explorer Red 80cm,,,,,,,,,,,,,,800
Rose Faith Mauve 40cm,,,,,,,,,,250,,,,
Rose Faith Mauve 50cm,1000,,,200,,200,,,,,,,,
Rose Faith Mauve 60cm,1000,,,200,,200,,,,,,,,
Rose Fascination Peach 50cm,,,,,,,,200,,,,,,
Rose Fascination Peach 60cm,,,,,,,,600,,,,,,400
Rose Felicity Peach 50cm,,,,,,,200,,,,400,,,200
Rose Felicity Peach 60cm,,,,,,,,,,,400,,,200
Rose Flamingo Pink 50cm,,,,,,800,,,,,,,,
Rose Flamingo Pink 60cm,,,,,,500,,,,,,,,
Rose Flamingo Pink 70cm,,,,,,,,,,,,,,
Rose Free Spirit Apricot 40cm,400,,100,,,,,,,,,,,
Rose Free Spirit Apricot 50cm,500,,100,500,200,,200,,,,,200,,
Rose Free Spirit Apricot 60cm,,,,1000,,400,,,,,,,,
Rose Freedom Red 40cm,,,1000,,,,,,,,,,,
Rose Freedom Red 50cm,2000,3000,1500,4000,,500,,,1000,,,,,
Rose Freedom Red 60cm,2000,2000,1000,4000,,500,600,,1000,,500,,,
Rose Freedom Red 70cm,2000,1000,,1000,500,,,,500,,,,,400
Rose Freedom Red 80cm,,,,,,,,,,,,,,
Rose Friends Lavender 50cm,,,,,,,,,200,,,,,
Rose Frutetto Blush/Pink 40cm,200,,,,,,,,,,,,,
Rose Frutetto Blush/Pink 50cm,300,500,,,,,,500,200,,,,,
Rose Frutetto Blush/Pink 60cm,,500,200,,,,,300,200,,,,,
Rose Frutetto Blush/Pink 70cm,,,200,,,,,,,,,,,
Rose Full Monty Hot Pink 50cm,,750,,,,200,500,700,300,,,,,200
Rose Full Monty Hot Pink 60cm,,750,200,,,200,200,700,300,,,,,400
Rose Full Monty Hot Pink 70cm,,,200,,,,,,,,,,,
