VARIETY,WELY,FROS,NATIVE,GUAISA,FLVE,ROPR,ROSU,DIND,POTR,ALIA,ATTA,DYAN,NEVA,STRO
Rose Rediant Red 50cm,,500,,,,,,,,,,,100,
Rose Rediant Red 60cm,,500,,,,,,,400,,,,,
Rose Rediant Red 70cm,,,,,,,,,,,,,,
Rose Rhoslyn (aka Cielo  Pale Pink 40cm,400,,,,,,,,,,,,,
Rose Rhoslyn (aka Cielo  Pale Pink 50cm,400,,200,,,,,,,,,,,
Rose Rhoslyn (aka Cielo  Pale Pink 60cm,,,200,,,,,,,,,,,
Rose Roseberry Magenta 50cm,,,,,,,,,,,,,300,
Rose Roseberry Magenta 60cm,,,,,,,,,,,,,100,
Rose Rosita Vendela Pink 50cm,,,,,,,,400,,,,,,
Rose Rosita Vendela Pink 60cm,,,200,,,,,400,,,,,,
Rose Saga Light Pink 50cm,,,,200,,,,,,,,,,
Rose Saga Light Pink 60cm,,,,,,,,,100,,,,,
Rose Sahara Beige 50cm,,,,,,,200,,,,,,,
Rose Sahara Beige 60cm,,,200,,,,,,,,,,,
Rose Sandy Light Pink/Cream 60cm,,,200,,,,,,,,,,,
Rose Senorita Light Pink 50cm,,,200,,,,,,,,,,,
Rose Senorita Light Pink 60cm,,,200,,,,,,,,,,,
Rose Sexy Red Red 50 cm,,,,,,,,400,,,,,,
Rose Shimmer Peach 40cm,,,,,,,,,,,,,,
Rose Shimmer Peach 50cm,600,1000,,1000,,300,400,1000,,100,,300,,
Rose Shimmer Peach 60cm,600,1000,800,1000,,300,400,1000,600,,,300,,500
Rose Shimmer Peach 70cm,,,400,,,,,,,,900,,,500
Rose Shocking Blue Lavender 60cm,,,,,,,,,100,,,,,
Rose Shukrani Peach 50cm,,,,,,,,,,,,,200,
Rose Silvery Light Lavender 50cm,,,,,,,200,,,,,,,
Rose Silvery Light Lavender 60cm,,,,,,,200,,,,,,,
Rose Snow Bliss White 50 cm,,,,,,,,,200,,,,,
Rose Snow Bliss White 60 cm,,,,,,,,,200,,,,,
Rose Snowy Jewel White 50cm,,,,,,,,,,,,,,
Rose Sophia Blush 50cm,,,,,,,,,,,,,,
Rose Sophia Blush 60cm,,,200,,,,,,,,,,,
Rose Sophia Blush 70cm,,,,,,,,,,,,,,
Rose Star Platinum Lavender 60cm,,,,,,,,,,,,,,
Rose Stardust Yellow 50cm,,,200,,,,,,,,,,,
Rose Stardust Yellow 60cm,,,200,,,,,,,,,,,
Rose Sunny Days Yellow 50cm  ,,,100,,,,,,,,100,,,
Rose Sunny Xpression 40cm,,,,,,,,,,,100,,,
Rose Sunny Xpression 40cm,,,,,,,,,,,200,,,
Rose Super Green Green 40cm,200,,,,,,,,,,,,,
Rose Super Green Green 50cm,200,,,,,,,,,,,,,
Rose Super Green Green 60cm,,,,,,,,,,,,,,
Rose Super Sun Gold 60cm,,,,,,,,,,,,,,
Rose Sweet 4 Love Light Pink 50cm,,,,,,,,200,,,400,,,
Rose Sweet 4 Love Light Pink 60cm,,,,,,,,,,,400,,,
Rose Sweet Akito Light Pink 50cm,,,400,,,400,,,,,,,,
Rose Sweet Akito Light Pink 60cm,,,400,,,400,,,,,,,,
Rose Sweet Cake 60cm,,,,,,,,,,,200,,,
Rose Sweet Elegant Pink 50cm,,,,,,,,,,,,,,
Rose Sweet Elegant Pink 60cm,,,,,,,,,,,,,,
Rose Sweet Escimo Blush 40cm,200,,400,,,,,,,,,,,
Rose Sweet Escimo Blush 50cm,500,,400,500,500,400,,300,,,,,,
Rose Sweet Escimo Blush 60cm,500,,400,500,500,,,,,,,,,
Rose Sweet Memory 50cm,,,,,,,,,,,200,,,
Rose Sweet Memory 60cm,,,,,,,,,,,200,,,
Rose Sweet Unique Pink 40cm,1000,,200,,,,,,,,,,,
Rose Sweet Unique Pink 50cm,1000,,200,,,400,200,300,100,100,,,,
Rose Sweet Unique Pink 60cm,3000,,200,,,400,200,300,100,,,,,
Rose Sweetness Pink/White 50cm,,,,,,,,,100,,,,,
Rose Sweetness Pink/White 60cm,400,,400,,,,,,100,,,,,
Rose Tara Gold 50cm,400,,400,,,,,,,,,,,
Rose Tara Gold 60cm,,,200,,,,,,,,,,,
Rose Tibet White 40cm,,,200,,,,,,,,300,,,
Rose Tibet White 50cm,500,,400,600,1000,,200,500,400,,100,,,
Rose Tibet White 60cm,500,,400,1200,1000,,200,,800,,400,,,400
Rose Tibet White 60cm,,,,,,,,,,,100,,,
Rose Tiffany Peach 50cm,500,,200,,,,,,,,200,,,
Rose Tiffany Peach 60cm,500,,200,,,,,,,,200,,100,
Rose Titanic Light Pink 50cm,,,,,,,,,,,,,,
Rose Titanic Light Pink 60cm,,,,,,,,,,,,,,
Rose Toffee Novelty 50cm,,,,,,,,500,,,,,,
Rose Toffee Novelty 60cm,,,,,,,,1000,,,,,,
Rose Toffee Novelty 70cm,,,,,,,,500,,,,,,
Rose Topaz Fuchsia 50cm,,,200,,,,,,,,,,,
Rose Topaz Fuchsia 60cm,600,,200,,,,,,,,,,,
Rose Twilight Apricot 50cm,200,,,,,,,,,,,,,
Rose Tycoon Gold 50cm,,,,,,,,200,,,,,,
Rose Tycoon Gold 60cm,,,,,,,,,,,,,,200
Rose Vendela Cream 50cm,,250,,,,,,,,,,,,
Rose Vendela Cream 60cm,,250,,,,,,,,,,,,
Rose Vendela Cream 70cm,,250,,,,,,,,,,,,
Rose Versillia Peach 50cm,,,,,,,,,,,,300,200,
Rose Versillia Peach 60cm,,,,,,,,,,,,300,,
Rose VIPink Hot Pink 50 cm,,,,,,,,,,,400,,,
Rose VIPink Hot Pink 60 cm,,,,,,,,,,,400,,,
Rose Wasabi Light Green 50cm,,,,,,,,,,,,200,,
Rose White Shimmer White 70cm,,,,,,,,,600,,,,,
Rose Wild Spirit Orange 50cm,200,,,,,,,,,,,,,
Rose Wild Spirit Orange 60cm,200,,,,,,,,,,,,,
Rose Wildcat Orange/Coral 40 cm,,,,,,,,,,,,,,
Rose Wildcat Orange/Coral 50 cm,,,,,,,,,,,,,,200
Rose Wildcat Orange/Coral 60 cm,,,,,,,,,,,,,,200
